Index,Name,Variant,Tier,EatingAmount,ReproductionMultiplier,DeathThreshold,DeathRate,MinimumDeaths,ReproThreshold,EatingStars,ReproductionStars,DeathThresholdStars,DeathRateStars,ThermalBreadthStars,Description,TemperatureThresholdText,ReproductionRateText,SpeciesAmount,OptimalTempK,ArrhenBreadth,ArrhenLower,ArrhenUpper,LowerBoundK,UpperBoundK,IconFile
10,"grabbler","Common",2,1,0.225,0.3,0.6,1,0.25,3,4,3,2,3,"After Common Grabblers hatch, they seek out the shell of a Sheplik to protect their delicate tails. ","Average","Average",0,289.649993896484,5273.14990234375,28273.150390625,35273.1484375,290.649993896484,294.149993896484,"icons/10_grabbler_Common.png"
11,"cyplo","Common",2,1,0.3,0.3,0.3,1,0.25,3,2,4,5,1,"The Common Cyplo is known for its bright orange color and single eye. Their winks are considered good luck. ","Low","High",0,295.350006103516,10273.150390625,80273.1484375,85273.1484375,292.899993896484,293.399993896484,"icons/11_cyplo_Common.png"
12,"shelpik tropical","Tropical",2,1.5,0.1,0.3,0.3,1,0.25,4,2,4,4,3,"The Tropical Sheplik is also known as the royal sheplik because their shiny shells resemble a golden crown.","High","Low",0,308.649993896484,5273.14990234375,10273.150390625,21273.150390625,300.149993896484,310.149993896484,"icons/12_shelpik tropical_Tropical.png"
13,"grabbler tropical","Tropical",2,1,0.225,0.3,0.6,1,0.25,3,4,3,2,3,"The elongated claws of the Tropical Grabbler allow them to reach into many tight places other grabblers cannot. ","Average","Average",0,304.450012207031,5273.14990234375,28273.150390625,35273.1484375,305.649993896484,309.149993896484,"icons/13_grabbler tropical_Tropical.png"
14,"cyplo tropical","Tropical",2,1,0.3,0.3,0.3,1,0.25,3,2,4,5,1,"Tropical Cyplos have highly effective spines to help protect themselves from predators. ","Low","High",0,310.600006103516,10273.150390625,80273.1484375,85273.1484375,307.899993896484,308.399993896484,"icons/14_cyplo tropical_Tropical.png"
15,"shelpik arctic","Arctic",2,1.5,0.1,0.3,0.3,1,0.25,4,2,4,4,3,"Arctic Sheplik are very slow moving and resilient to cold. It is said that they can hibernate for months in the cold.","High","Low",0,278.149993896484,5273.14990234375,10273.150390625,21273.150390625,270.149993896484,280.149993896484,"icons/15_shelpik arctic_Arctic.png"
16,"grabbler arctic","Arctic",2,1,0.225,0.3,0.6,1,0.25,3,4,3,2,3,"Arctic Grabblers are fast walkers and can use air chambers in their shells to float.  ","Average","Average",0,274.850006103516,5273.14990234375,28273.150390625,35273.1484375,275.149993896484,279.649993896484,"icons/16_grabbler arctic_Arctic.png"
17,"cyplo arctic","Arctic",2,1,0.3,0.3,0.3,1,0.25,3,2,4,5,1,"Arctic Cyplos thrive in cold water where they can often be found playing with small bits of ice. ","Low","High",0,280.149993896484,10273.150390625,80273.1484375,85273.1484375,277.899993896484,278.399993896484,"icons/17_cyplo arctic_Arctic.png"
18,"rooda","Common",3,1,0.1,0.3,0.4,1,0.25,4,1,3,4,5,"The Common Rooda are apex predators that hunt using their sharp heads to impale their prey. ","High","Low",0,293.149993896484,5273.14990234375,10273.150390625,21273.150390625,285.149993896484,295.149993896484,"icons/18_rooda_Common.png"
19,"sploof","Common",3,0.75,0.15,0.3,0.5,1,0.25,3,4,2,3,3,"Common Sploof are thought to be highly intelligent. Lab studies have shown that they are able to solve simple puzzles.","Average","Average",0,289.649993896484,5273.14990234375,28273.150390625,35273.1484375,290.649993896484,294.149993896484,"icons/19_sploof_Common.png"
20,"silu","Common",3,0.75,0.2,0.3,0.35,1,0.25,2,2,5,5,1,"The Common Silu-Silu have voracious appetites, eating anything that happens to be in front of them. ","Low","High",0,295.350006103516,10273.150390625,80273.1484375,85273.1484375,292.899993896484,293.399993896484,"icons/20_silu_Common.png"
21,"rooda tropical","Tropical",3,1,0.1,0.3,0.4,1,0.25,4,1,3,4,5,"The colorful Tropical Rooda can contort their bodies into strange shapes to hypnotize their prey before eating them.","High","Low",0,308.649993896484,5273.14990234375,10273.150390625,21273.150390625,300.149993896484,310.149993896484,"icons/21_rooda tropical_Tropical.png"
22,"sploof tropical","Tropical",3,0.75,0.15,0.3,0.5,1,0.25,3,4,2,3,3,"Tropical Sploof are very playful, they love blowing small objects such as  sand and shells around with their jets.","Average","Average",0,304.450012207031,5273.14990234375,28273.150390625,35273.1484375,305.649993896484,309.149993896484,"icons/22_sploof tropical_Tropical.png"
23,"silu tropical","Tropical",3,0.75,0.2,0.3,0.35,1,0.25,2,2,5,5,1,"The huge whiskers of the Tropical Silu-Silu allow them to detect any changes in the water around them.","Low","High",0,310.600006103516,10273.150390625,80273.1484375,85273.1484375,307.899993896484,308.399993896484,"icons/23_silu tropical_Tropical.png"
24,"rooda arctic","Arctic",3,1,0.1,0.3,0.4,1,0.25,4,1,3,4,5,"Arctic Rooda are built for speed with their streamlined bodies. They are the fastest swimmers in the ocean.","High","Low",0,278.149993896484,5273.14990234375,10273.150390625,21273.150390625,270.149993896484,280.149993896484,"icons/24_rooda arctic_Arctic.png"
25,"sploof arctic","Arctic",3,0.75,0.15,0.3,0.5,1,0.25,3,4,2,3,3,"Arctic Sploof are known to sometimes jump out of the water to roll around in snow on land. The reason is unknown.","Average","Average",0,274.850006103516,5273.14990234375,28273.150390625,35273.1484375,275.149993896484,279.649993896484,"icons/25_sploof arctic_Arctic.png"
26,"silu arctic","Arctic",3,0.75,0.2,0.3,0.35,1,0.25,2,2,5,5,1,"Arctic Silu-Silu have very small eyes that are less developed than most other fish. They use their whiskers to feel around. ","Low","High",0,280.149993896484,10273.150390625,80273.1484375,85273.1484375,277.899993896484,278.399993896484,"icons/26_silu arctic_Arctic.png"
